Site,Variable,Latitude,Longitude,overall_mean,overall_median,overall_sd,overall_cv,overall_min,overall_max,overall_range,overall_p25,overall_p75,overall_p95,n_months,n_years,date_start,date_end,variable_type
Amil_16_Davies,v,-18.82996945,147.6389485,-0.021458765,-0.018584375,0.028586936955909442,1.3321799910012349,-0.083210203,0.031752022,0.114962225,-0.040328369,0.001534675,0.019668035364494598,110,11,1/12/2014,1/1/2024,current
Amil_16_Davies,wspeed_u,-18.82996945,147.6389485,-4.791652668,-4.807916089,1.2480707112698175,0.26046769199180736,-7.509808754,-1.46372317,6.046085584,-5.727483428,-4.064496767,-2.401665524,110,11,1/12/2014,1/1/2024,wind
Amil_16_Davies,wspeed_v,-18.82996945,147.6389485,2.118283156467887,1.9239155940983501,2.140229575542512,1.0103604747116148,-2.514355592,6.0394453302406355,8.553800922240635,0.32509490134630126,3.991741830603376,5.366362533650633,110,11,1/12/2014,1/1/2024,wind
Amil_16_Lizard,u,-14.6869289,145.4397515,-0.066700958,-0.072679965,0.060211400513309477,0.9027066856172604,-0.163888384,0.096998044,0.260886428,-0.12346039,-0.018169243,0.028386975799999995,110,11,1/12/2014,1/1/2024,current
Amil_16_Lizard,v,-14.6869289,145.4397515,0.094276606,0.09869617,0.08537965,0.9056292259545169,-0.126963686,0.2433009893198197,0.37026467531981966,0.025103706,0.1694139732703846,0.21319015605101366,110,11,1/12/2014,1/1/2024,current
Amil_16_Lizard,wspeed_u,-14.6869289,145.4397515,-4.896127312,-5.771236714,2.3651294068677955,0.4830612555966209,-8.041473574,2.3840413914388696,10.425514965438868,-6.764890341,-3.451282211,-0.297530654,110,11,1/12/2014,1/1/2024,wind
Amil_16_Lizard,wspeed_v,-14.6869289,145.4397515,4.181295208383075,4.560430517246462,2.5646460990362066,0.6133616430369112,-1.69754467,8.447236961,10.14478163,2.16546651,6.384164004,8.030385576,110,11,1/12/2014,1/1/2024,wind
Amil_16_Magnetic,u,-19.16521749,146.852554,-0.0043205,-0.004130374,0.002452066,0.5675422783513412,-0.012306715,0.002528644,0.014835359,-0.005627899,-0.002913294,-6.60E-04,110,11,1/12/2014,1/1/2024,current
Amil_16_Magnetic,v,-19.16521749,146.852554,-8.41E-04,-5.61E-04,0.001872235,2.226830128413003,-0.009124436,0.003418038,0.012542474,-0.001388783,2.0329382446593328e-4,0.001504814,110,11,1/12/2014,1/1/2024,current
Amil_16_Magnetic,wspeed_u,-19.16521749,146.852554,-3.280377655,-3.276877337,0.921292032,0.280849381,-5.450012153,-0.929874194,4.520137959,-3.877460211,-2.726442055,-1.871596267,110,11,1/12/2014,1/1/2024,wind
Amil_16_Magnetic,wspeed_v,-19.16521749,146.852554,0.9156854875300561,0.8250372337372428,1.715131833016302,1.873057787169533,-2.813441942,3.715552805926201,6.528994747926201,-0.36743993,2.3939164906833734,3.4175147977782965,110,11,1/12/2014,1/1/2024,wind
Amil_16_Orpheus,u,-18.56929938,146.4914631,-0.02267776,-0.023082673,0.00490081,0.2161064500700865,-0.033608373,-0.007734765,0.025873607999999996,-0.025916381,-0.020097102,-0.014368746,110,11,1/12/2014,1/1/2024,current
Amil_16_Orpheus,v,-18.56929938,146.4914631,0.011907292178529922,0.013172975,0.012100086784800873,1.0161913055781548,-0.019459982,0.036040273,0.055500255,0.002895353,0.020548796461422287,0.030335262049659036,110,11,1/12/2014,1/1/2024,current
Amil_16_Orpheus,wspeed_u,-18.56929938,146.4914631,-3.438823956,-3.431674652,0.9190885147807635,0.2672682657094416,-5.471619925,-1.098957002,4.372662923,-3.97812711,-2.79150366,-2.077492071,110,11,1/12/2014,1/1/2024,wind
Amil_16_Orpheus,wspeed_v,-18.56929938,146.4914631,1.615719680183804,1.4941464982921882,2.165659012031574,1.340368034500396,-2.75659709,5.414343394,8.170940484,-0.092558452,3.4694649103325226,4.863692943462398,110,11,1/12/2014,1/1/2024,wind
Amil_16_SE_Pelorus,u,-18.55803503,146.4878896,-0.012686842,-0.012246475,0.003903496,0.3076806804223077,-0.022706514,-0.002983704,0.01972281,-0.015185235,-0.010270445,-0.005967396,110,11,1/12/2014,1/1/2024,current
Amil_16_SE_Pelorus,v,-18.55803503,146.4878896,0.023324251,0.026869011013043252,0.022011709372362277,0.9437262947548374,-0.037422105,0.084657836,0.122079941,0.00726804,0.036076245,0.057497815,110,11,1/12/2014,1/1/2024,current
Amil_16_SE_Pelorus,wspeed_u,-18.55803503,146.4878896,-3.371046772,-3.368353422,0.9053931742825854,0.2685792382970439,-5.35370837,-1.083729377,4.269978993,-3.911236825,-2.736458143,-2.068082114,110,11,1/12/2014,1/1/2024,wind
Amil_16_SE_Pelorus,wspeed_v,-18.55803503,146.4878896,1.619843227395152,1.4881158682522235,2.1670098733518164,1.337789877873895,-2.757367267,5.427996922666085,8.185364189666085,-0.08444953,3.4709187004732884,4.866757773253434,110,11,1/12/2014,1/1/2024,wind
Amil_16_Sudbury,u,-16.99573888,146.2711266,-0.015892196,-0.021201764,0.026952467900504398,1.6959561442716533,-0.054768082,0.056416711,0.111184793,-0.037477821,0.002756395,0.031644693,110,11,1/12/2014,1/1/2024,current
Amil_16_Sudbury,v,-16.99573888,146.2711266,0.021747485993292924,0.024823898101649214,0.036652032,1.685345702351328,-0.062840669,0.087922747,0.15076341599999998,-0.005468709,0.052974616,0.075595657,110,11,1/12/2014,1/1/2024,current
Amil_16_Sudbury,wspeed_u,-16.99573888,146.2711266,-3.613150421,-3.77603003,1.242775962,0.3439590985254753,-5.913710052,-0.072295792,5.84141426,-4.473915231,-2.95212731,-1.317480343,110,11,1/12/2014,1/1/2024,wind
Amil_16_Sudbury,wspeed_v,-16.99573888,146.2711266,3.6280738927799407,3.675569473059652,2.4022286507285577,0.6621223055873035,-0.976764123,7.902978714028121,8.879742837028122,1.6535711433269986,5.574786210196889,7.363721363323533,110,11,1/12/2014,1/1/2024,wind
Amil_17_Davies,u,-18.8302857,147.6384122,-0.008113625,-0.013678417,0.040811557,5.0300029284290835,-0.085306458,0.14647577973946024,0.23178223773946025,-0.038228774,0.021901004,0.053436183,110,11,1/12/2014,1/1/2024,current
