Date,Variable,Site,Latitude,Longitude,mean,median,p5,p95,lowest,highest
1/2/2021,wspeed_v,ONLI_LO1S,-14.6835,145.450361,0.7347899950423363,0.5537889343493734,-4.381553837,5.762916786415552,-6.195340489,7.878365215849041
1/2/2021,wspeed_v,ONLI_CL1S,-14.663694,145.451111,no data,no data,no data,no data,no data,no data
1/2/2021,wspeed_v,ONLI_NT1D,-14.646028,145.453583,0.6854464097098649,0.5042210489677796,-4.455619356,5.623513337267539,-6.15895106,7.891272982441763
1/2/2021,wspeed_v,ONLI_NT1S,-14.646083,145.45375,0.6853427227286522,0.5043481432207452,-4.455816182,5.623079653066058,-6.158826097,7.891258216929333
1/2/2021,wspeed_v,ONLI_BV1S,-14.684389,145.44,0.7437355319569932,0.5463377651830916,-4.359474485,5.796166769655374,-6.213694207,7.856307418639845
1/2/2021,wspeed_v,ONLI_RE1S,-14.679194,145.443583,0.7374821855905278,0.5478921507205166,-4.36264058,5.789724511239065,-6.207819757,7.857875662154966
1/2/2021,wspeed_v,ONLI_LA2S,-14.686861,145.454972,0.7352285744168567,0.5619245890309369,-4.389751296,5.747330371030231,-6.190939345,7.884643565438086
1/2/2021,wspeed_v,ONLI_TA1S,-14.685111,145.466972,0.7296292121800634,0.5702989270369376,-4.404571465,5.7096324796675315,-6.1768491,7.738777460743385
1/2/2021,wspeed_v,ONLI_PA1S,-14.696806,145.449889,0.7486673654142191,0.5913938184313768,-4.381659345,5.799789335165868,-6.204458577,7.921156677023183
1/2/2021,wspeed_v,ONLI_CN1S,-14.658139,145.451583,0.6939443124857527,0.5148998733606813,-4.440179691,5.661907321301856,-6.170203102,7.886351186181059
1/2/2021,wspeed_v,CBLM_BA1S,-23.900155,152.393624,2.064762526298471,2.099817472914082,-4.720382995,7.779877362590094,-8.625348572,11.79641492620965
1/2/2021,wspeed_v,CBLM_BA2S,-23.894298,152.404406,2.0667173788197863,2.099999904632569,-4.708165803,7.771020628651283,-8.622010014,11.745495196240032
1/2/2021,wspeed_v,CBLM_FL1S,-23.884903,152.413621,2.0664754755639567,2.0999999046325684,-4.702336113,7.803864177707084,-8.607672988,11.71757001455696
1/2/2021,wspeed_v,CBLM_FL2S,-23.917571,152.391971,2.069488343091634,2.0828423127225575,-4.743540636,7.829802914202733,-8.669086616,11.857367294312278
1/2/2021,wspeed_v,CBLM_LA1S,-23.896147,152.413821,2.070594496748785,2.0999999046325684,-4.725858629,7.801682089837444,-8.638543378,11.740822538697977
1/2/2021,wspeed_v,KEGK_BA1S,-23.1965435,150.9368275,0.6385847467947512,0.8796583560701237,-6.566181969,6.604898807242035,-9.843743589,8.528302249785517
1/2/2021,wspeed_v,KEHW_BA1S,-23.2018935,150.966579,0.6703830786039341,0.90511599,-6.467422139,6.571399044632354,-9.782459368,8.588136949289964
1/2/2021,wspeed_v,KEML_BA1S,-23.150495,150.90294,0.6546408604075356,0.9593882011714104,-6.560910224,6.5476023675203825,-9.719084062,8.572999902036536
1/2/2021,wspeed_v,KEMD_BA1S,-23.1619975,150.9208225,0.6629060646635159,0.9784360519438932,-6.65461542,6.636812467126431,-9.872729732,8.720998775519782
1/2/2021,wspeed_v,KENK_BA1S,-23.0843065,150.885571,0.6615677957416934,0.9588790970186518,-5.966145654,6.033323173268847,-9.05923317,8.120140289876698
1/2/2021,wspeed_v,CBHE_BA1D,-23.428043,151.952453,1.8003735989465877,1.9517932182810076,-4.900000095,7.192784575740835,-8.653771639,11.08582953449874
1/2/2021,wspeed_v,CBHE_BA1S,-23.4284405,151.952418,1.800424146384947,1.9516168775413243,-4.900000095,7.193488629310623,-8.65425062,11.085873140866337
1/2/2021,wspeed_v,CBHE_BA2D,-23.434075,151.920269,1.777538138615486,1.9109716738739617,-4.972836509,7.1912505047574955,-8.757932832,11.03768045902995
1/2/2021,wspeed_v,CBHE_BA2S,-23.433982,151.920934,1.7783217062480043,1.915121012580258,-4.966980627,7.190222761,-8.750836373,11.039968698426016
1/2/2021,wspeed_v,CBHE_FL1S,-23.4561755,151.925688,1.7845465848781332,1.9264785488064153,-4.980425809,7.242969889246766,-8.792394515,11.043080698333975
