projectID,scientificAbbreviation,locality,decimalLatitude,decimalLongitude,depthOfColonyinMetersCorrected,EcoPlotID_full
ECO03,Ahya,Chicken,-18.653034,147.708676,5.2,OCCH_BA1S
ECO03,Spis,Chicken,-18.6532055,147.708533,5.2,OCCH_BA1S
ECO03,Spis,Davies,-18.80575,147.6686,5.2,OCDA_FL1S
ECO03,Spis,Davies,-18.83125,147.63316,5.2,OCDA_LA2S
ECO03,Pmas,Davies,-18.81938248,147.663904,5.2,OCDA_FR1S_P3
ECO03_BLCH,Spis,Davies,-18.805835,147.66868,5.2,OCDA_FL1S_P1
ECT1,Aken,No_Name,-14.65078865,145.6382049,5.2,Aken_1338
ECT1,Aken,Myrmidon,-18.27786069,147.3788495,5.2,Aken_12
ECT1,Aken,Pelorus,-18.55911772,146.5024799,5.2,Aken_1928
ECT1,Aken,Chicken,-18.67074472,147.7066244,5.2,Aken_1901
ECT1,Aken,Chicken,-18.67043249,147.7066702,5.2,Aken_1903
ECO03,Pver,Heron,-23.47042275,151.9508896,5.3,CBHE_FR2S_P2
ECO03,Spis,Heron,-23.4704876,151.9510498,5.3,CBHE_FR2S_P3
ECO03,Pdam,Heron,-23.4563285,151.9257705,5.3,CBHE_FL1S_P4
ECO03,Shys,Davies,-18.83180971,147.6525841,5.3,OCDA_FR2S_P2
ECT1,Aspat,Kelso,-18.423767,146.985506,5.3,Aspat_949
ECT1,Aken,Moore,-16.84585403,146.2320419,5.3,Aken_1061
ECT1,Aken,Hicks,-14.47490782,145.5028383,5.3,Aken_1385
ECT1,Aken,Chicken,-18.67045563,147.7063281,5.3,Aken_1864
ECT1,Aken,Chicken,-18.67059183,147.7066432,5.3,Aken_1899
ECO03,Pver,Davies,-18.83187,147.6525,5.4,OCDA_FR2S
ECO03,Shys,Davies,-18.80573,147.66856,5.4,OCDA_FL1S_P2
ECO03,Shys,Davies,-18.805575,147.66835,5.4,OCDA_FL1S_P4
ECO03,Pmas,Pelorus,-18.53959533,146.4993701,5.4,PAPE_FR1S_P1
ECT1,Aken,Moore,-16.8457081,146.2323693,5.4,Aken_1081
ECT1,Aken,Hicks,-14.47487832,145.5029119,5.4,Aken_1386
ECT1,Aken,Hicks,-14.47441405,145.5035837,5.4,Aken_1399
ECT1,Aken,Hicks,-14.47454514,145.5034852,5.4,Aken_1452
ECT1,Aken,Hicks,-14.47536732,145.5020581,5.4,Aken_1467
ECT1,Aken,Pelorus,-18.559353,146.5024204,5.4,Aken_1914
ECT1,Aken,Chicken,-18.67084723,147.7065797,5.4,Aken_1902
ECT1,Aken,Chicken,-18.67055152,147.7067028,5.4,Aken_1964
ECO03,Spis,Heron,-23.4703846,151.9507065,5.5,CBHE_FR2S_P1
ECO03,Pmas,Davies,-18.8194875,147.663784,5.5,OCDA_FR1S_P2
ECO03,Pmas,Davies,-18.831285,147.63312,5.5,OCDA_LA2S_P3
ECO03,Pmas,Davies,-18.831215,147.633025,5.5,OCDA_LA2S_P4
ECT1,Ahya,Lady_Musgrave,-23.90711107,152.3869396,5.5,Ahya_105a
ECT1,Aken,Tydeman,-13.97107431,144.5100589,5.5,Aken_10_Tydeman
ECT1,Aken,Hicks,-14.47529716,145.5021579,5.5,Aken_1464
ECT1,Aken,Hicks,-14.47534922,145.5021107,5.5,Aken_1465
ECT1,Aken,Hicks,-14.47535056,145.5021311,5.5,Aken_1466
ECT1,Aken,Hicks,-14.47547595,145.5018357,5.5,Aken_1472
ECT1,Aken,Pelorus,-18.55934688,146.5024284,5.5,Aken_1913
ECT1,Aken,Pelorus,-18.55938133,146.5024063,5.5,Aken_1931
ECT1,Aken,Pelorus,-18.55971375,146.5021954,5.5,Aken_1945
ECT1,Aken,Chicken,-18.67049863,147.7065465,5.5,Aken_1962
ECT1,Aken,Chicken,-18.67041648,147.7067609,5.5,Aken_1967
ECT1,Aken,Chicken,-18.67037365,147.7067122,5.5,Aken_1969
ECO03,Pmas,Davies,-18.831295,147.6331825,5.55,OCDA_LA2S_P23
ECO03,Spis,Lady_Musgrave,-23.8944175,152.403762,5.6,CBLM_BA2S_P3
ECO03,Spis,Lady_Musgrave,-23.9175615,152.392049,5.6,CBLM_FL2S_P1
ECO03,Spis,Heron,-23.47050095,151.9511948,5.6,CBHE_FR2S_P4
ECO03,Pmas,Chicken,-18.652094,147.7186785,5.6,OCCH_FL1S_P1
ECO03,Pmas,Davies,-18.831305,147.633245,5.6,OCDA_LA2S_P2
ECT1,Aken,Chicken,-18.66993989,147.7063448,5.6,Aken_1875
ECT1,Aken,Davies,-18.82661191,147.6266073,5.6,Aken_2020
ECO03,Ahya,Chicken,-18.652112,147.718717,5.7,OCCH_FL1S
ECO03,Spis,Heron,-23.471902,151.977954,5.7,CBHE_FR1S_P4
ECO03,Pver,Chicken,-18.652217,147.7184615,5.7,OCCH_FL1S
ECO03,Pmas,Davies,-18.83163711,147.6527145,5.7,OCDA_FR2S_P3
ECO03,Pmas,Chicken,-18.652288,147.718228,5.7,OCCH_FL1S_P4
ECO03,Shys,Davies,-18.83150833,147.6528006,5.7,OCDA_FR2S_P4
ECT1,Aken,Moore,-16.84583961,146.2325236,5.7,Aken_1083
ECT1,Aken,Moore,-16.84606014,146.2323114,5.7,Aken_1085
ECT1,Aken,Moore,-16.84607984,146.2324584,5.7,Aken_1086
ECT1,Aken,No_Name,-14.65082251,145.6382101,5.7,Aken_1339
ECT1,Aken,Hicks,-14.47458873,145.503382,5.7,Aken_1453
ECT1,Aken,Kelso,-18.42425164,146.986458,5.7,Aken_1393
ECT1,Aken,Chicken,-18.67057859,147.7066071,5.7,Aken_1963
ECT1,Aken,Chicken,-18.67039218,147.7067407,5.7,Aken_1968
ECO03,Pmas,Chicken,-18.653038,147.7086435,5.8,OCCH_BA1S_P1
ECO03,Pmas,Little_Broadhurst,-18.9439165,147.699257,5.8,OCLB_FL1S_P3
ECT1,Aken,Moore,-16.8457278,146.2324599,5.8,Aken_1082
ECT1,Aken,Moore,-16.84605,146.2322977,5.8,Aken_1084
ECT1,Aken,Hicks,-14.47482811,145.5029254,5.8,Aken_1455
